月,집,자가용,통장잔고,주식1(삼전),주식2(KB),주식3(CJ),주식수1,주식수2,주식수3,금융자산,전세대출,자가용 남은 할부금,고정수익,유동수익,유동지출,커피,순수식비,주전부리,술/담배,생활필수품,여가생활,기름값,주식매입,고정지출,전세 대출 이자,자가용 할부금,자동차 보험료,공과금,통신비,OTT/구독료
1,350000000,36000000,20000000,56000,46500,82000,70,90,40,11385000,200000000,34960000,5000000,0,2220000,200000,950000,290000,340000,180000,180000,80000,0,2300000,670000,1040000,250000,200000,100000,40000
2,350000000,36000000,20480000,57100,48100,82400,70,90,40,11622000,200000000,33920000,5000000,0,2200000,250000,900000,290000,310000,160000,170000,120000,0,2300000,670000,1040000,250000,200000,100000,40000
3,350000000,36000000,20980000,61500,50400,92100,70,90,40,12525000,200000000,32880000,5000000,0,2110000,210000,930000,210000,310000,150000,170000,130000,0,2300000,670000,1040000,250000,200000,100000,40000
4,350000000,36000000,21570000,57200,47300,96600,70,90,40,12125000,200000000,31840000,5000000,0,2100000,210000,900000,230000,330000,170000,170000,90000,0,2300000,670000,1040000,250000,200000,100000,40000
5,350000000,36000000,22170000,66800,58200,82800,70,90,40,13226000,200000000,30800000,5000000,0,2080000,250000,980000,220000,310000,150000,100000,70000,0,2300000,670000,1040000,250000,200000,100000,40000
6,350000000,36000000,22790000,66500,59900,80500,70,90,40,13266000,200000000,29760000,5000000,0,2160000,220000,930000,250000,340000,150000,150000,120000,0,2300000,670000,1040000,250000,200000,100000,40000
7,350000000,36000000,25752000,69200,59500,64500,35,90,40,10357000,200000000,28720000,5000000,2422000,2130000,210000,970000,210000,320000,160000,150000,110000,0,2300000,670000,1040000,250000,200000,100000,40000
8,350000000,36000000,28622000,71500,57500,81000,35,50,40,8617500,200000000,27680000,5000000,2300000,2220000,260000,950000,240000,350000,170000,180000,70000,0,2300000,670000,1040000,250000,200000,100000,40000
9,350000000,36000000,29102000,74000,60900,91900,35,50,40,9311000,200000000,26640000,5000000,0,2310000,280000,960000,270000,330000,150000,180000,140000,0,2300000,670000,1040000,250000,200000,100000,40000
10,350000000,36000000,29492000,77400,56600,86300,35,50,40,8991000,200000000,25600000,5000000,0,2100000,230000,940000,260000,300000,160000,100000,110000,0,2300000,670000,1040000,250000,200000,100000,40000
11,350000000,36000000,30092000,76300,57000,82400,35,50,40,8816500,200000000,24560000,5000000,0,2180000,270000,910000,260000,330000,170000,150000,90000,0,2300000,670000,1040000,250000,200000,100000,40000
12,350000000,36000000,27372000,70200,55100,81000,35,50,80,11692000,200000000,23520000,5000000,5000000,5410000,200000,960000,250000,300000,180000,180000,100000,3240000,2300000,670000,1040000,250000,200000,100000,40000
13,350000000,36000000,32902000,72200,54800,81200,35,50,80,11763000,200000000,22480000,5200000,0,2150000,200000,980000,200000,320000,150000,170000,130000,0,2300000,670000,1040000,250000,200000,100000,40000
14,350000000,36000000,33652000,76600,52900,76000,35,50,80,11406000,200000000,21440000,5200000,0,2060000,200000,940000,270000,300000,160000,120000,70000,0,2300000,670000,1040000,250000,200000,100000,40000
15,350000000,36000000,34492000,82100,52000,79100,35,50,80,11801500,200000000,20400000,5200000,0,2160000,220000,910000,230000,320000,180000,160000,140000,0,2300000,670000,1040000,250000,200000,100000,40000
16,350000000,36000000,33042000,80400,54000,92100,35,90,80,15042000,200000000,19360000,5200000,0,4350000,240000,990000,270000,330000,150000,120000,90000,2160000,2300000,670000,1040000,250000,200000,100000,40000
17,350000000,36000000,33752000,82200,57600,94100,35,90,80,15589000,200000000,18320000,5200000,0,2240000,210000,960000,250000,350000,190000,140000,140000,0,2300000,670000,1040000,250000,200000,100000,40000
18,350000000,36000000,34412000,82600,53300,92700,35,90,80,15104000,200000000,17280000,5200000,0,2110000,290000,910000,200000,340000,150000,120000,100000,0,2300000,670000,1040000,250000,200000,100000,40000
19,350000000,36000000,29651000,85400,54600,94000,100,90,80,20974000,200000000,16240000,5200000,0,7711000,240000,970000,220000,320000,190000,130000,90000,5551000,2300000,670000,1040000,250000,200000,100000,40000
20,350000000,36000000,30391000,82100,47000,95500,100,90,80,20080000,200000000,15200000,5200000,0,2090000,210000,950000,230000,300000,150000,150000,100000,0,2300000,670000,1040000,250000,200000,100000,40000
21,350000000,36000000,31201000,83500,44350,114500,100,90,80,21501500,200000000,14160000,5200000,0,2320000,290000,990000,200000,380000,160000,160000,140000,0,2300000,670000,1040000,250000,200000,100000,40000
22,350000000,36000000,31781000,83900,43550,107000,100,90,80,20869500,200000000,13120000,5200000,0,2220000,200000,980000,250000,380000,170000,130000,110000,0,2300000,670000,1040000,250000,200000,100000,40000
23,350000000,36000000,32461000,71500,47200,98000,100,90,80,19238000,200000000,12080000,5200000,0,2140000,220000,920000,230000,330000,150000,190000,100000,0,2300000,670000,1040000,250000,200000,100000,40000
24,350000000,36000000,33221000,60300,42900,101500,100,90,80,18011000,200000000,11040000,5200000,5200000,2110000,200000,900000,280000,300000,170000,150000,110000,0,2300000,670000,1040000,250000,200000,100000,40000
