ㅇ,집,통장잔고,주식1,주식2,주식3,주식수1,주식수2,주식수3,금융자산,전세대출,고정수익,유동수익,유동지출,커피,순수식비,주전부리,술/담배,생활필수품,여가생활,주식매입,고정지출,전세 대출 이자,공과금,통신비,OTT/구독료
1,150000000,3000000,49400,1307000,134000,10,2,15,5118000,100000000,3000000,,1680000,150000,870000,110000,240000,150000,160000,0,525000,375000,50000,80000,20000
2,150000000,3795000,51500,1261000,122000,10,2,15,4867000,100000000,3000000,,1690000,210000,830000,120000,240000,180000,110000,0,525000,375000,50000,80000,20000
3,150000000,2655000,49850,1265000,121000,10,4,10,6768500,100000000,3000000,605000,4170000,190000,830000,100000,210000,190000,120000,2530000,525000,375000,50000,80000,20000
4,150000000,3490000,53000,1261000,120500,10,4,10,6779000,100000000,3000000,,1700000,170000,880000,110000,200000,150000,190000,0,525000,375000,50000,80000,20000
5,150000000,4265000,52900,1258000,125000,10,4,10,6811000,100000000,3000000,,1640000,170000,820000,100000,230000,160000,160000,0,525000,375000,50000,80000,20000
6,150000000,5100000,81300,1221000,115000,10,4,10,6847000,100000000,3000000,,1720000,220000,860000,120000,230000,150000,140000,0,525000,375000,50000,80000,20000
7,150000000,5855000,61300,1120000,88700,10,4,10,5980000,100000000,3000000,,1620000,170000,810000,130000,200000,160000,150000,0,525000,375000,50000,80000,20000
8,150000000,6710000,73000,1386000,93600,10,4,10,7210000,100000000,3000000,,1710000,240000,850000,100000,220000,190000,110000,0,525000,375000,50000,80000,20000
9,150000000,7475000,119900,1370000,98000,10,4,10,7659000,100000000,3000000,,1720000,170000,890000,120000,230000,170000,140000,0,525000,375000,50000,80000,20000
10,150000000,8230000,120500,1346000,97700,10,4,10,7566000,100000000,3000000,,1620000,190000,810000,130000,230000,150000,110000,0,525000,375000,50000,80000,20000
11,150000000,502500,140200,1371000,126500,5,10,5,15043500,100000000,3000000,1333500,9916000,230000,840000,130000,220000,170000,100000,8226000,525000,375000,50000,80000,20000
12,150000000,1287500,155000,1473000,176500,5,10,5,16387500,100000000,3000000,,1640000,190000,890000,100000,200000,160000,100000,0,525000,375000,50000,80000,20000
13,150000000,2122500,136600,1448000,178500,5,10,5,16055500,100000000,3100000,,1720000,220000,850000,140000,230000,150000,130000,0,525000,375000,50000,80000,20000
14,150000000,2977500,124400,1500000,164500,5,10,5,16444500,100000000,3100000,,1570000,150000,800000,130000,200000,190000,100000,0,525000,375000,50000,80000,20000
15,150000000,3982500,151400,1514000,181500,5,10,5,16804500,100000000,3100000,,1630000,180000,820000,130000,230000,150000,120000,0,525000,375000,50000,80000,20000
16,150000000,4927500,170100,1620000,192000,5,10,5,18010500,100000000,3100000,,1660000,220000,820000,140000,220000,160000,100000,0,525000,375000,50000,80000,20000
17,150000000,5842500,183500,1557000,229000,5,10,5,17632500,100000000,3100000,,1590000,210000,800000,130000,200000,150000,100000,0,525000,375000,50000,80000,20000
18,150000000,8139500,162300,1513000,237000,5,6,25,15814500,100000000,3100000,6052000,6420000,190000,840000,100000,230000,180000,140000,4740000,525000,375000,50000,80000,20000
19,150000000,9034500,163000,1570000,218000,5,6,25,15685000,100000000,3100000,,1720000,180000,870000,140000,210000,170000,150000,0,525000,375000,50000,80000,20000
20,150000000,9889500,181000,1539000,212000,5,6,25,15439000,100000000,3100000,,1720000,240000,860000,110000,210000,160000,140000,0,525000,375000,50000,80000,20000
21,150000000,10744500,175700,1559000,235000,5,6,25,16107500,100000000,3100000,,1680000,180000,840000,100000,240000,150000,170000,0,525000,375000,50000,80000,20000
22,150000000,11639500,212100,1762000,239500,5,6,25,17620000,100000000,3100000,,1760000,180000,850000,140000,230000,180000,180000,0,525000,375000,50000,80000,20000
23,150000000,12454500,289500,1459000,218000,5,6,25,15651500,100000000,3100000,,1800000,210000,870000,140000,220000,180000,180000,0,525000,375000,50000,80000,20000
24,150000000,12588700,320400,1461000,212500,7,6,25,16321300,100000000,3100000,,2400800,200000,890000,110000,230000,170000,160000,640800,525000,375000,50000,80000,20000
25,150000000,13403700,467000,1337000,200000,7,6,25,16291000,100000000,3200000,,1710000,160000,850000,110000,230000,180000,180000,0,525000,375000,50000,80000,20000
26,150000000,16864700,409900,1171000,208000,7,6,13,12599300,100000000,3200000,2496000,1670000,170000,840000,120000,230000,150000,160000,0,525000,375000,50000,80000,20000
27,150000000,17869700,543400,1054000,195500,7,6,13,12669300,100000000,3200000,,1690000,230000,820000,130000,220000,190000,100000,0,525000,375000,50000,80000,20000
28,150000000,18854700,500800,1097000,209000,7,6,13,12804600,100000000,3200000,,1660000,150000,880000,130000,230000,170000,100000,0,525000,375000,50000,80000,20000
29,150000000,23769700,328300,975000,189500,7,2,13,6711600,100000000,3200000,3900000,1700000,180000,870000,130000,200000,190000,130000,0,525000,375000,50000,80000,20000
30,150000000,24744700,375200,950000,175000,7,2,13,6801400,100000000,3200000,,1770000,220000,890000,100000,240000,190000,130000,0,525000,375000,50000,80000,20000
31,150000000,25649700,397700,858000,180500,7,2,13,6846400,100000000,3200000,,1780000,210000,890000,140000,210000,160000,170000,0,525000,375000,50000,80000,20000
32,150000000,26544700,476400,909000,186000,7,2,13,7570800,100000000,3200000,,1750000,230000,860000,130000,210000,150000,170000,0,525000,375000,50000,80000,20000
33,150000000,27469700,505000,734000,189500,7,2,13,7466500,100000000,3200000,,1750000,160000,850000,140000,240000,180000,180000,0,525000,375000,50000,80000,20000
34,150000000,28394700,113500,680000,180500,7,2,13,4501000,100000000,3200000,,1670000,150000,840000,120000,200000,190000,170000,0,525000,375000,50000,80000,20000
35,150000000,29399700,119400,779000,196000,7,2,13,4941800,100000000,3200000,,1660000,210000,810000,110000,210000,170000,150000,0,525000,375000,50000,80000,20000
36,150000000,30414700,112200,712000,196000,7,2,13,4757400,100000000,3200000,,1720000,240000,800000,140000,220000,160000,160000,0,525000,375000,50000,80000,20000
